101,96,0.0338879999999999
102,20,0.00706
103,152,0.0536559999999999
104,61,0.021533
105,156,0.0550679999999999
106,67,0.023651
107,30,0.01059
108,25,0.008825
109,82,0.028946
110,66,0.023298
111,88,0.0310639999999999
112,69,0.024357
113,76,0.026828
114,163,0.0575389999999999
115,37,0.013061
116,62,0.021886
117,35,0.012355
118,24,0.008472
201,53,0.018709
202,23,0.008119
203,19,0.006707
204,10,0.00353
205,9,0.003177
206,21,0.007413
207,20,0.00706
208,19,0.006707
209,34,0.012002
210,38,0.013414
211,31,0.010943
212,36,0.012708
213,58,0.020474
214,49,0.017297
215,15,0.005295
216,55,0.019415
217,3,0.001059
218,38,0.013414
219,12,0.004236
220,9,0.003177
221,12,0.004236
222,5,0.001765
223,32,0.011296
224,8,0.002824
306,3,0.001059
311,8,0.002824
312,1,0.000353
313,24,0.008472
314,7,0.002471
315,20,0.00706
316,3,0.001059
317,10,0.00353
319,18,0.006354
320,16,0.005648
321,9,0.003177
322,4,0.001412
324,1,0.000353
326,4,0.001412
327,7,0.002471
328,15,0.005295
329,7,0.002471
330,7,0.002471
331,19,0.006707
332,4,0.001412
333,15,0.005295
334,4,0.001412
335,10,0.00353
337,4,0.001412
339,2,0.000706
340,13,0.004589
401,7,0.002471
403,1,0.000353
404,9,0.003177
405,7,0.002471
406,1,0.000353
410,3,0.001059
412,7,0.002471
413,7,0.002471
414,16,0.005648
415,8,0.002824
417,1,0.000353
418,4,0.001412
419,4,0.001412
421,3,0.001059
422,4,0.001412
501,3,0.001059
503,14,0.004942
505,10,0.00353
506,6,0.002118
507,44,0.015532
508,1,0.000353
510,11,0.003883
512,5,0.001765
516,5,0.001765
541,1,0.000353
603,13,0.004589
604,5,0.001765
605,10,0.00353
606,12,0.004236
608,6,0.002118
611,8,0.002824
612,1,0.000353
614,5,0.001765
615,23,0.008119
616,10,0.00353
617,1,0.000353
618,7,0.002471
619,26,0.009178
620,6,0.002118
621,2,0.000706
622,7,0.002471
623,3,0.001059
624,9,0.003177
625,7,0.002471
627,9,0.003177
628,2,0.000706
629,6,0.002118
717,1,0.000353
721,1,0.000353
727,3,0.001059
730,3,0.001059
731,4,0.001412
732,1,0.000353
734,4,0.001412
735,2,0.000706
738,1,0.000353
741,1,0.000353
742,1,0.000353
744,3,0.001059
747,7,0.002471
748,1,0.000353
755,1,0.000353
758,4,0.001412
760,5,0.001765
763,1,0.000353
802,4,0.001412
803,10,0.00353
804,3,0.001059
805,35,0.012355
806,21,0.007413
808,103,0.0363589999999999
809,72,0.025416
810,72,0.025416
811,24,0.008472
812,46,0.016238
813,61,0.021533
814,6,0.002118
816,4,0.001412
817,26,0.009178
818,4,0.001412
819,45,0.015885
820,96,0.0338879999999999
821,41,0.014473
823,60,0.02118
824,53,0.018709
825,28,0.009884
826,23,0.008119
827,21,0.007413
828,36,0.012708
829,31,0.010943
830,34,0.012002
831,56,0.019768
832,30,0.01059
833,5,0.001765
834,90,0.0317699999999999
835,59,0.020827
836,101,0.0356529999999999
837,68,0.024004
838,9,0.003177
839,43,0.015179
840,6,0.002118
841,5,0.001765
842,17,0.006001
843,64,0.022592
844,7,0.002471
845,4,0.001412
846,19,0.006707
848,4,0.001412
849,18,0.006354
850,11,0.003883
851,20,0.00706
852,10,0.00353
854,44,0.015532
855,31,0.010943
856,6,0.002118
857,40,0.01412
858,1,0.000353
859,30,0.01059
860,24,0.008472
861,10,0.00353
862,57,0.020121
901,16,0.005648
902,8,0.002824
903,2,0.000706
904,3,0.001059
905,5,0.001765
906,4,0.001412
907,1,0.000353
909,1,0.000353
910,20,0.00706
911,12,0.004236
912,2,0.000706
914,3,0.001059
919,3,0.001059
920,6,0.002118
923,2,0.000706
925,2,0.000706
930,2,0.000706
931,3,0.001059
935,3,0.001059
936,1,0.000353
937,1,0.000353
939,3,0.001059
941,5,0.001765
943,1,0.000353
945,7,0.002471
1001,16,0.005648
1002,11,0.003883
1003,22,0.007766
1004,39,0.013767
1005,22,0.007766
1006,11,0.003883
1007,17,0.006001
1008,65,0.022945
1009,78,0.027534
1010,2,0.000706
1011,7,0.002471
1012,35,0.012355
1013,79,0.0278869999999999
1014,58,0.020474
1015,53,0.018709
1016,6,0.002118
1017,46,0.016238
1018,7,0.002471
1019,9,0.003177
1020,16,0.005648
1021,37,0.013061
1022,21,0.007413
1023,19,0.006707
1024,22,0.007766
1025,22,0.007766
1026,84,0.0296519999999999
1027,57,0.020121
1028,2,0.000706
1029,67,0.023651
1030,1,0.000353
1031,3,0.001059
1033,3,0.001059
1034,16,0.005648
1035,9,0.003177
1036,40,0.01412
1037,30,0.01059
1038,14,0.004942
1039,16,0.005648
1040,14,0.004942
1041,6,0.002118
1042,5,0.001765
1043,19,0.006707
1044,6,0.002118
1045,39,0.013767
1046,10,0.00353
1047,40,0.01412
1048,32,0.011296
1049,10,0.00353
1050,12,0.004236
1051,6,0.002118
1052,119,0.0420069999999999
1053,132,0.0465959999999999
1054,30,0.01059
1055,94,0.0331819999999999
1056,95,0.0335349999999999
1057,52,0.018356
1058,74,0.026122
1059,39,0.013767
1060,47,0.016591
1061,22,0.007766
1062,18,0.006354
1063,111,0.0391829999999999
1064,22,0.007766
1065,90,0.0317699999999999
1066,55,0.019415
1067,58,0.020474
1068,78,0.027534
1069,36,0.012708
1070,59,0.020827
1071,169,0.0596569999999999
1072,99,0.0349469999999999
1073,54,0.019062
1075,34,0.012002
1101,4,0.001412
1102,1,0.000353
1104,24,0.008472
1106,43,0.015179
1107,35,0.012355
1108,6,0.002118
1109,5,0.001765
1110,10,0.00353
1111,8,0.002824
1112,3,0.001059
1113,9,0.003177
1115,10,0.00353
1116,5,0.001765
1117,1,0.000353
1118,1,0.000353
1119,6,0.002118
1124,2,0.000706
1126,28,0.009884
1127,80,0.02824
1128,44,0.015532
1130,5,0.001765
1131,16,0.005648
1132,12,0.004236
1133,6,0.002118
1134,10,0.00353
1135,12,0.004236
1136,7,0.002471
1138,2,0.000706
1139,13,0.004589
1140,38,0.013414
1141,22,0.007766
1142,10,0.00353
1144,13,0.004589
1145,7,0.002471
1146,2,0.000706
1147,4,0.001412
1148,11,0.003883
1149,7,0.002471
1150,3,0.001059
1151,12,0.004236
1152,3,0.001059
1153,8,0.002824
1155,12,0.004236
1156,35,0.012355
1157,31,0.010943
1158,52,0.018356
1159,60,0.02118
1160,32,0.011296
1161,49,0.017297
1162,27,0.009531
1164,29,0.010237
1165,6,0.002118
1166,3,0.001059
1167,20,0.00706
1168,15,0.005295
1169,5,0.001765
1170,1,0.000353
1171,3,0.001059
1173,9,0.003177
1174,4,0.001412
1175,4,0.001412
1176,4,0.001412
1201,1,0.000353
1202,9,0.003177
1203,35,0.012355
1204,2,0.000706
1205,23,0.008119
1206,1,0.000353
1207,5,0.001765
1208,13,0.004589
1209,32,0.011296
1210,21,0.007413
1212,35,0.012355
1213,5,0.001765
1214,28,0.009884
1215,25,0.008825
1217,9,0.003177
1218,1,0.000353
1219,4,0.001412
1220,10,0.00353
1221,28,0.009884
1222,3,0.001059
1224,1,0.000353
1225,37,0.013061
1226,5,0.001765
1227,34,0.012002
1228,12,0.004236
1229,1,0.000353
1231,47,0.016591
1232,12,0.004236
1233,17,0.006001
1234,19,0.006707
1235,18,0.006354
1236,2,0.000706
1237,7,0.002471
1238,25,0.008825
1239,34,0.012002
1240,2,0.000706
1241,13,0.004589
1242,64,0.022592
1243,3,0.001059
1245,15,0.005295
1246,36,0.012708
1247,70,0.02471
1248,41,0.014473
1249,4,0.001412
1250,14,0.004942
1251,35,0.012355
1252,22,0.007766
1253,9,0.003177
1254,54,0.019062
1255,32,0.011296
1256,3,0.001059
1257,8,0.002824
1258,30,0.01059
1259,25,0.008825
1260,18,0.006354
1261,4,0.001412
1262,75,0.026475
1263,41,0.014473
1264,45,0.015885
1265,2,0.000706
1266,25,0.008825
1267,14,0.004942
1268,24,0.008472
1269,19,0.006707
1270,19,0.006707
1271,7,0.002471
1272,40,0.01412
1273,18,0.006354
1274,26,0.009178
1275,16,0.005648
1276,21,0.007413
1277,3,0.001059
1278,14,0.004942
1279,11,0.003883
1280,10,0.00353
1281,11,0.003883
1282,11,0.003883
1283,32,0.011296
1284,70,0.02471
1285,12,0.004236
1286,1,0.000353
1287,18,0.006354
1288,11,0.003883
1289,3,0.001059
1290,40,0.01412
1291,41,0.014473
1292,13,0.004589
1293,6,0.002118
1294,4,0.001412
1295,21,0.007413
1296,11,0.003883
1297,16,0.005648
1298,7,0.002471
1299,12,0.004236
1301,9,0.003177
1302,8,0.002824
1303,4,0.001412
1305,3,0.001059
1306,2,0.000706
1307,13,0.004589
1308,6,0.002118
1309,4,0.001412
1310,5,0.001765
1312,1,0.000353
1313,14,0.004942
1315,5,0.001765
1316,4,0.001412
1317,5,0.001765
1318,2,0.000706
1320,5,0.001765
1321,11,0.003883
1322,2,0.000706
1323,8,0.002824
1324,1,0.000353
1325,14,0.004942
1326,24,0.008472
1327,20,0.00706
1328,2,0.000706
1329,11,0.003883
1330,18,0.006354
1331,2,0.000706
1332,2,0.000706
1333,6,0.002118
1334,3,0.001059
1335,2,0.000706
1336,5,0.001765
1337,5,0.001765
1338,6,0.002118
1339,1,0.000353
1340,10,0.00353
1341,36,0.012708
1342,5,0.001765
1343,3,0.001059
1344,4,0.001412
1345,4,0.001412
1347,17,0.006001
1348,21,0.007413
1349,5,0.001765
1350,9,0.003177
1351,2,0.000706
1352,9,0.003177
1353,6,0.002118
1354,7,0.002471
1355,34,0.012002
1357,2,0.000706
1358,9,0.003177
1359,14,0.004942
1360,2,0.000706
1361,14,0.004942
1362,4,0.001412
1365,14,0.004942
1366,2,0.000706
1367,19,0.006707
1370,17,0.006001
1371,14,0.004942
1372,10,0.00353
1373,59,0.020827
1374,10,0.00353
1375,9,0.003177
1376,2,0.000706
1377,18,0.006354
1378,13,0.004589
1379,9,0.003177
